venue,symbol,open_time,low,close,volume
Binance,USDPUSDT,1678978800000,0.9974,0.998,611464.0
Binance,USDPUSDT,1678982400000,0.9977,0.998,198187.0
Binance,USDPUSDT,1678986000000,0.998,0.9987,293700.0
Binance,USDPUSDT,1678989600000,0.9977,0.9982,119338.0
Binance,USDPUSDT,1678993200000,0.997,0.997,25521.0
Binance,USDPUSDT,1678996800000,0.998,0.9986,330024.0
Binance,USDPUSDT,1679000400000,0.9976,0.9976,741.0
Binance,USDPUSDT,1679004000000,0.9976,0.9976,38.0
Binance,USDPUSDT,1679007600000,0.9976,0.9976,0.0
Binance,USDPUSDT,1679011200000,0.9976,0.9976,0.0
Binance,BUSDUSDT,1678233600000,1.0,1.0,22467162.0
Binance,BUSDUSDT,1678237200000,1.0,1.0001,14938092.0
Binance,BUSDUSDT,1678240800000,1.0,1.0001,47013274.0
Binance,BUSDUSDT,1678244400000,1.0,1.0001,8296545.0
Binance,BUSDUSDT,1678248000000,1.0,1.0,13228152.0
Binance,BUSDUSDT,1678251600000,1.0,1.0001,46158003.0
Binance,BUSDUSDT,1678255200000,1.0,1.0001,18863465.0
Binance,BUSDUSDT,1678258800000,1.0,1.0,9906921.0
Binance,BUSDUSDT,1678262400000,1.0,1.0,16058269.0
Binance,BUSDUSDT,1678266000000,1.0,1.0001,13537260.0
Binance,BUSDUSDT,1678269600000,1.0,1.0001,13803671.0
Binance,BUSDUSDT,1678273200000,1.0,1.0,19337684.0
Binance,BUSDUSDT,1678276800000,1.0,1.0,39882550.0
Binance,BUSDUSDT,1678280400000,1.0,1.0,30769172.0
Binance,BUSDUSDT,1678284000000,1.0,1.0,14389313.0
Binance,BUSDUSDT,1678287600000,1.0,1.0,18757164.0
Binance,BUSDUSDT,1678291200000,1.0,1.0,12281508.0
Binance,BUSDUSDT,1678294800000,1.0,1.0,10931866.0
Binance,BUSDUSDT,1678298400000,1.0,1.0001,10275124.0
Binance,BUSDUSDT,1678302000000,1.0,1.0,9575248.0
Binance,BUSDUSDT,1678305600000,1.0,1.0001,8080235.0
Binance,BUSDUSDT,1678309200000,1.0,1.0,13673233.0
Binance,BUSDUSDT,1678312800000,1.0,1.0001,25841684.0
Binance,BUSDUSDT,1678316400000,1.0,1.0,16855868.0
Binance,BUSDUSDT,1678320000000,1.0,1.0,18211013.0
Binance,BUSDUSDT,1678323600000,1.0,1.0,12278425.0
Binance,BUSDUSDT,1678327200000,1.0,1.0,12835058.0
Binance,BUSDUSDT,1678330800000,1.0,1.0,17152142.0
Binance,BUSDUSDT,1678334400000,1.0,1.0,17162817.0
Binance,BUSDUSDT,1678338000000,1.0,1.0001,17406995.0
Binance,BUSDUSDT,1678341600000,1.0,1.0,15062438.0
Binance,BUSDUSDT,1678345200000,1.0,1.0,14885981.0
Binance,BUSDUSDT,1678348800000,1.0,1.0001,33907466.0
Binance,BUSDUSDT,1678352400000,1.0001,1.0001,19314216.0
Binance,BUSDUSDT,1678356000000,1.0001,1.0002,17552508.0
Binance,BUSDUSDT,1678359600000,1.0001,1.0001,33052586.0
Binance,BUSDUSDT,1678363200000,1.0001,1.0001,15939544.0
Binance,BUSDUSDT,1678366800000,1.0001,1.0002,54108180.0
Binance,BUSDUSDT,1678370400000,1.0001,1.0001,42420051.0
Binance,BUSDUSDT,1678374000000,1.0001,1.0001,20030439.0
Binance,BUSDUSDT,1678377600000,1.0001,1.0001,13543580.0
Binance,BUSDUSDT,1678381200000,1.0001,1.0001,15542351.0
Binance,BUSDUSDT,1678384800000,1.0001,1.0002,44920314.0
Binance,BUSDUSDT,1678388400000,1.0002,1.0002,21377493.0
Binance,BUSDUSDT,1678392000000,1.0001,1.0002,34393951.0
Binance,BUSDUSDT,1678395600000,1.0,1.0,49996170.0
Binance,BUSDUSDT,1678399200000,1.0,1.0,26458662.0
Binance,BUSDUSDT,1678402800000,1.0,1.0,13134983.0
Binance,BUSDUSDT,1678406400000,1.0,1.0002,112371737.0
Binance,BUSDUSDT,1678410000000,1.0001,1.0001,42906239.0
Binance,BUSDUSDT,1678413600000,1.0001,1.0001,19665664.0
Binance,BUSDUSDT,1678417200000,1.0,1.0,18371700.0
Binance,BUSDUSDT,1678420800000,1.0,1.0,11624708.0
Binance,BUSDUSDT,1678424400000,1.0,1.0,23173488.0
Binance,BUSDUSDT,1678428000000,1.0,1.0,15809081.0
Binance,BUSDUSDT,1678431600000,1.0,1.0,28539758.0
Binance,BUSDUSDT,1678435200000,1.0,1.0,16039638.0
Binance,BUSDUSDT,1678438800000,1.0,1.0,28525822.0
Binance,BUSDUSDT,1678442400000,1.0,1.0,31459769.0
Binance,BUSDUSDT,1678446000000,1.0,1.0001,30404383.0
Binance,BUSDUSDT,1678449600000,1.0,1.0,23025858.0
Binance,BUSDUSDT,1678453200000,1.0,1.0,27315199.0
Binance,BUSDUSDT,1678456800000,1.0,1.0001,29260470.0
Binance,BUSDUSDT,1678460400000,1.0,1.0,23094784.0
Binance,BUSDUSDT,1678464000000,1.0,1.0,27893190.0
Binance,BUSDUSDT,1678467600000,0.9999,1.0,48555053.0
Binance,BUSDUSDT,1678471200000,0.9999,0.9999,69201626.0
Binance,BUSDUSDT,1678474800000,0.9998,0.9999,232951613.0
Binance,BUSDUSDT,1678478400000,0.9997,0.9997,82525169.0
Binance,BUSDUSDT,1678482000000,0.9981,0.9986,185817333.0
Binance,BUSDUSDT,1678485600000,0.9953,0.9968,159092915.0
Binance,BUSDUSDT,1678489200000,0.9959,0.997,100225532.0
Binance,BUSDUSDT,1678492800000,0.993,0.9934,164245517.0
Binance,BUSDUSDT,1678496400000,0.9873,0.9915,133757009.0
Binance,BUSDUSDT,1678500000000,0.9902,0.9943,116204225.0
Binance,BUSDUSDT,1678503600000,0.9922,0.9933,79951575.0
Binance,BUSDUSDT,1678507200000,0.9929,0.9966,45913352.0
Binance,BUSDUSDT,1678510800000,0.9953,0.9959,41540051.0
Binance,BUSDUSDT,1678514400000,0.9941,0.9945,58753052.0
Binance,BUSDUSDT,1678518000000,0.9915,0.993,56801604.0
Binance,BUSDUSDT,1678521600000,0.9921,0.9948,56734515.0
Binance,BUSDUSDT,1678525200000,0.9934,0.9946,39361943.0
Binance,BUSDUSDT,1678528800000,0.9938,0.9938,31190899.0
Binance,BUSDUSDT,1678532400000,0.9933,0.9943,32363832.0
Binance,BUSDUSDT,1678536000000,0.9938,0.994,20936856.0
Binance,BUSDUSDT,1678539600000,0.9934,0.9934,24294265.0
Binance,BUSDUSDT,1678543200000,0.9926,0.9929,38156684.0
Binance,BUSDUSDT,1678546800000,0.9908,0.9917,35178639.0
Binance,BUSDUSDT,1678550400000,0.9897,0.9903,35119761.0
Binance,BUSDUSDT,1678554000000,0.9895,0.9911,33345800.0
Binance,BUSDUSDT,1678557600000,0.991,0.9922,22802641.0
Binance,BUSDUSDT,1678561200000,0.9912,0.9921,23330341.0
Binance,BUSDUSDT,1678564800000,0.9917,0.9945,43136856.0
Binance,BUSDUSDT,1678568400000,0.9936,0.9941,23858344.0
Binance,BUSDUSDT,1678572000000,0.9899,0.9929,21363747.0
Binance,BUSDUSDT,1678575600000,0.9925,0.9929,19418038.0
Binance,BUSDUSDT,1678579200000,0.9925,0.9925,16620319.0
Binance,BUSDUSDT,1678582800000,0.9919,0.9941,21084272.0
Binance,BUSDUSDT,1678586400000,0.9938,0.9944,14274116.0
Binance,BUSDUSDT,1678590000000,0.9944,0.9949,19560310.0
Binance,BUSDUSDT,1678593600000,0.9944,0.995,18236954.0
Binance,BUSDUSDT,1678597200000,0.9946,0.9955,12253577.0
Binance,BUSDUSDT,1678600800000,0.9943,0.9945,12916797.0
Binance,BUSDUSDT,1678604400000,0.993,0.9936,19750974.0
Binance,BUSDUSDT,1678608000000,0.9932,0.994,17055283.0
Binance,BUSDUSDT,1678611600000,0.9938,0.9944,14773106.0
Binance,BUSDUSDT,1678615200000,0.9943,0.9949,11714555.0
Binance,BUSDUSDT,1678618800000,0.9948,0.995,14860690.0
Binance,BUSDUSDT,1678622400000,0.9945,0.9947,14295426.0
Binance,BUSDUSDT,1678626000000,0.9943,0.9946,17738825.0
Binance,BUSDUSDT,1678629600000,0.9935,0.9937,24826542.0
