open_time,open,high,low,close,volume
1678845600000,0.9956,0.9958,0.9941,0.9949,52233265.0
1678849200000,0.9948,0.9951,0.9942,0.9947,50573790.0
1678852800000,0.9946,0.9948,0.9935,0.9939,50371407.0
1678856400000,0.9938,0.9942,0.9931,0.9935,60992650.0
1678860000000,0.9935,0.9944,0.9933,0.9942,37253574.0
1678863600000,0.9942,0.9944,0.9938,0.9941,26317796.0
1678867200000,0.9941,0.9944,0.994,0.9943,38272652.0
1678870800000,0.9943,0.9944,0.994,0.9942,38862210.0
1678874400000,0.9941,0.995,0.9941,0.9949,31717554.0
1678878000000,0.9948,0.9954,0.9942,0.9948,36670360.0
1678881600000,0.9947,0.9948,0.9944,0.9946,26037348.0
1678885200000,0.9945,0.9958,0.9945,0.9955,64286996.0
1678888800000,0.9955,0.9965,0.9955,0.9964,77305341.0
1678892400000,0.9964,0.9972,0.9962,0.997,104732016.0
1678896000000,0.997,0.9977,0.9968,0.9975,74084868.0
1678899600000,0.9975,0.998,0.9971,0.9974,63412083.0
1678903200000,0.9974,0.9976,0.9968,0.9972,52318953.0
1678906800000,0.9971,0.998,0.9965,0.9975,57439322.0
1678910400000,0.9975,0.9975,0.9961,0.9962,62284323.0
1678914000000,0.9961,0.9963,0.9956,0.9958,20871689.0
1678917600000,0.9959,0.9961,0.9956,0.9958,8705320.0
1678921200000,0.9958,0.9964,0.9957,0.996,8719769.0
1678924800000,0.9961,0.9967,0.996,0.9963,11694586.0
1678928400000,0.9962,0.9965,0.9962,0.9963,10334318.0
1678932000000,0.9963,0.9965,0.9961,0.9964,10203162.0
1678935600000,0.9964,0.9968,0.9964,0.9967,16812310.0
1678939200000,0.9966,0.9967,0.9963,0.9965,13657713.0
1678942800000,0.9964,0.9968,0.9964,0.9965,16726665.0
1678946400000,0.9965,0.9971,0.9965,0.9968,17928690.0
1678950000000,0.9968,0.9971,0.9963,0.9966,40103053.0
1678953600000,0.9966,0.997,0.9958,0.997,62153475.0
1678957200000,0.9969,0.997,0.9967,0.9969,29598888.0
1678960800000,0.9968,0.9969,0.9968,0.9969,21400475.0
1678964400000,0.9968,0.9971,0.9968,0.997,26890124.0
1678968000000,0.997,0.9971,0.9967,0.9969,15973672.0
1678971600000,0.9969,0.9971,0.9968,0.997,23841137.0
1678975200000,0.9969,0.9974,0.9969,0.9973,28040029.0
1678978800000,0.9972,0.9982,0.9972,0.998,71168882.0
1678982400000,0.998,0.9986,0.998,0.9983,61985349.0
1678986000000,0.9983,0.999,0.9965,0.9969,166293828.0
1678989600000,0.9969,0.9979,0.9969,0.9976,75207495.0
1678993200000,0.9975,0.9977,0.9968,0.9973,50114722.0
1678996800000,0.9973,0.9986,0.9972,0.9981,87186321.0
1679000400000,0.998,0.9981,0.9973,0.9975,40391981.0
1679004000000,0.9975,0.9977,0.9971,0.9974,26858549.0
1679007600000,0.9973,0.9978,0.9973,0.9975,24239745.0
1679011200000,0.9975,0.9977,0.9973,0.9976,22984400.0
