open_time,low,high,open,close,volume
1678680000,1.00398,1.00605,1.00429,1.00585,2820572.01
1678683600,1.00378,1.00607,1.00586,1.00441,2356481.72
1678687200,1.00389,1.00594,1.00441,1.00471,2875603.92
1678690800,1.00441,1.00692,1.00451,1.00449,3298884.76
1678694400,1.002,1.00477,1.00448,1.00298,3507077.48
1678698000,1.00268,1.00575,1.00298,1.00475,5426504.03
1678701600,1.00374,1.00497,1.00461,1.00378,1677318.92
1678705200,1.00222,1.00381,1.00377,1.00235,1583565.44
1678708800,1.00143,1.00255,1.00236,1.0017,2507094.95
1678712400,1.00124,1.00588,1.0017,1.00428,10047497.65
1678716000,1.004,1.00996,1.00429,1.0079,11369888.32
1678719600,1.0051,1.008,1.0079,1.00519,16665421.05
1678723200,1.00418,1.00704,1.00519,1.00501,7191039.55
1678726800,1.00335,1.00602,1.00501,1.00432,6223215.4
1678730400,1.0008,1.0049,1.0043,1.00411,8381623.69
1678734000,1.00186,1.0044,1.00411,1.00435,9317065.42
1678737600,1.0025,1.00545,1.00435,1.00473,5498820.18
1678741200,1.00406,1.005,1.00472,1.0048,10729590.43
1678744800,1.002,1.0048,1.0048,1.00399,20182342.05
1678748400,1.00378,1.00554,1.00399,1.00449,6367692.91
1678752000,1.00401,1.00519,1.00449,1.00501,2826813.51
1678755600,1.0042,1.00562,1.00501,1.00421,2930026.97
1678759200,1.0042,1.00494,1.00421,1.00463,4982268.59
1678762800,1.00458,1.0052,1.00462,1.0052,3867336.16
1678766400,1.00494,1.0055,1.0052,1.0055,3586308.62
1678770000,1.00466,1.0055,1.0055,1.0053,4668898.82
1678773600,1.00528,1.00566,1.0053,1.0056,4151055.45
1678777200,1.00559,1.0062,1.0056,1.00619,6032040.07
1678780800,1.00453,1.00627,1.00619,1.00579,5991120.82
1678784400,1.00456,1.0059,1.00579,1.00539,10707575.1
1678788000,1.005,1.0056,1.0054,1.00528,4522757.84
1678791600,1.00488,1.00581,1.00528,1.00491,3804817.03
1678795200,1.00249,1.00697,1.00492,1.00667,12011228.36
1678798800,1.00441,1.00716,1.00666,1.00468,8098496.36
1678802400,1.00386,1.00582,1.00468,1.00451,24800867.77
1678806000,1.003,1.00616,1.00451,1.00429,23025746.35
1678809600,1.0041,1.00542,1.00429,1.00414,9989005.91
1678813200,1.0032,1.00415,1.00414,1.00328,13740154.8
1678816800,1.0024,1.00394,1.00328,1.00355,23349491.34
1678820400,1.00306,1.01,1.00347,1.00342,33151967.99
1678824000,1.00322,1.00533,1.00342,1.0035,32717739.76
1678827600,1.00331,1.005,1.00349,1.00419,16408634.66
1678831200,1.00348,1.00448,1.00417,1.00417,14641468.48
1678834800,1.00355,1.00428,1.00414,1.00367,8994954.03
1678838400,1.00366,1.00367,1.00367,1.00366,3198755.66
1678842000,1.00328,1.0038,1.00366,1.0038,4999124.65
1678845600,1.00349,1.0041,1.0038,1.00409,9441900.74
1678849200,1.00409,1.00505,1.0041,1.00481,5195182.91
1678852800,1.00377,1.00642,1.0048,1.00522,8750059.09
1678856400,1.00456,1.00619,1.0052,1.00504,7843863.9
1678860000,1.00448,1.00537,1.00504,1.00524,6262482.32
1678863600,1.00457,1.00525,1.00524,1.00477,4996351.93
1678867200,1.00476,1.00524,1.00477,1.00514,4366913.15
1678870800,1.00485,1.00542,1.00515,1.00541,3277149.62
1678874400,1.00428,1.00551,1.00541,1.00467,7323348.53
1678878000,1.00345,1.00598,1.00467,1.0049,14491775.54
1678881600,1.0047,1.00686,1.00489,1.00522,4443067.76
1678885200,1.00301,1.00531,1.00522,1.004,9216626.79
1678888800,1.00317,1.004,1.004,1.00319,23969481.8
1678892400,1.00246,1.00321,1.00319,1.00249,61773250.56
1678896000,1.0021,1.00298,1.00249,1.00249,15221271.31
1678899600,1.00219,1.0026,1.00249,1.00256,8292368.71
1678903200,1.00256,1.00294,1.00257,1.00266,5908398.52
1678906800,1.00259,1.003,1.00265,1.00296,9596341.31
1678910400,1.00295,1.00374,1.00295,1.00359,6693280.51
1678914000,1.0035,1.004,1.0036,1.00398,4718479.44
1678917600,1.00389,1.00444,1.00397,1.00419,3236878.31
1678921200,1.00392,1.00419,1.00418,1.00404,2430929.88
