symbol,window,timestamp,price
BUSD,calm,1677286881,0.999265107738168
BUSD,calm,1677290452,1.0012072953489308
BUSD,calm,1677294083,1.0002044439257447
BUSD,calm,1677297474,1.001
BUSD,calm,1677301278,1.0006444356975257
BUSD,calm,1677304881,0.9994981005311679
BUSD,calm,1677308281,0.999968
BUSD,calm,1677312000,0.9998966702934646
BUSD,calm,1677315624,1.0000022607263885
BUSD,calm,1677319194,1.0003448586684394
BUSD,calm,1677322908,1.00033326543929
BUSD,calm,1677326513,1.0004304980530374
BUSD,calm,1677329877,1.004
BUSD,calm,1677333696,0.9989408966738946
BUSD,calm,1677337296,1.0003499334433534
BUSD,calm,1677340666,0.999926
BUSD,calm,1677344508,0.9993671515137774
BUSD,calm,1677348090,1.0012207083722935
BUSD,calm,1677351604,0.9999151939844237
BUSD,calm,1677355227,1.0007048411159558
BUSD,calm,1677358833,1.0015118787288102
BUSD,calm,1677362280,1.001
BUSD,calm,1677365870,0.999796
BUSD,calm,1677369680,1.0001706751212538
BUSD,calm,1677373205,1.0006784486816653
BUSD,calm,1677376798,1.000441326101277
BUSD,calm,1677380401,1.0019546363885992
BUSD,calm,1677384000,0.9999291013968109
BUSD,calm,1677387614,1.0007611774407126
BUSD,calm,1677391200,1.0001054100164561
BUSD,calm,1677394800,0.9994193478395517
BUSD,calm,1677398414,0.9994482670981492
BUSD,calm,1677402053,1.0005629361841175
BUSD,calm,1677405600,0.9995618247375128
BUSD,calm,1677409215,1.0001622061937452
BUSD,calm,1677412827,1.0008445121239817
BUSD,calm,1677416417,1.0007418315562058
BUSD,calm,1677420067,0.9999536342557945
BUSD,calm,1677423648,0.9995048368647343
BUSD,calm,1677427232,0.9999456933003925
BUSD,calm,1677430811,0.9999969851700679
BUSD,calm,1677434521,1.0013865366818104
BUSD,calm,1677438062,0.9929490899223904
BUSD,calm,1677441598,0.9986258200834105
BUSD,calm,1677445216,1.0011803411498517
BUSD,calm,1677448847,0.9996371672021767
BUSD,calm,1677452272,1.001
BUSD,calm,1677456026,0.9999977550605282
BUSD,calm,1677459658,0.9999831801919413
BUSD,calm,1677463205,0.9992296973687473
BUSD,calm,1677466813,1.0002006887923067
BUSD,calm,1677470443,0.9992286806680887
BUSD,calm,1677474028,1.0003247406620674
BUSD,calm,1677477672,0.9991728417576509
BUSD,calm,1677481074,1.0
BUSD,calm,1677484928,0.9996793238395132
BUSD,calm,1677488414,0.9989236419617279
BUSD,calm,1677492005,0.9999521961521407
BUSD,calm,1677495643,1.0017424801608537
BUSD,calm,1677499221,1.0000727587957683
BUSD,calm,1677502820,0.9999228298283432
BUSD,calm,1677506472,0.9984324474742847
BUSD,calm,1677510050,0.9999821476533742
BUSD,calm,1677513724,0.999774
