hour_utc,open,high,low,close,vwap,volume,n_trades
2019-04-27T20:00:00Z,0.9757,0.9765,0.9757,0.9762,0.9761251017140808,188833.36769177,67.0
2019-04-27T21:00:00Z,0.976,0.9765,0.976,0.976,0.9761182498675632,21514.61173353,20.0
2019-04-27T22:00:00Z,0.9757,0.9762,0.9756,0.9761,0.975860902747299,34755.46061119001,37.0
2019-04-27T23:00:00Z,0.9763,0.9763,0.9758,0.976,0.975923305577284,12969.31796798,12.0
2019-04-28T00:00:00Z,0.976,0.9764,0.9756,0.9756,0.9757918174784214,751.9139144300001,8.0
2019-04-28T01:00:00Z,0.9758,0.9758,0.9758,0.9758,0.9758,16186.19097605,23.0
2019-04-28T02:00:00Z,0.9757,0.9759,0.9754,0.9759,0.9756279022257045,2583.0141003699996,14.0
2019-04-28T03:00:00Z,0.9759,0.9759,0.9753,0.9753,0.9758658678243392,27960.85421098,12.0
2019-04-28T04:00:00Z,0.9753,0.9759,0.9742,0.9744,0.9747489315305528,142167.34069476,73.0
2019-04-28T05:00:00Z,0.9743,0.9746,0.974,0.974,0.9742355613328223,462787.36744705,55.0
2019-04-28T06:00:00Z,0.974,0.974,0.974,0.974,0.9739999999999998,16754.509461640002,11.0
2019-04-28T07:00:00Z,0.9737,0.974,0.9736,0.9738,0.9739979838341193,161368.24523485,16.0
2019-04-28T08:00:00Z,0.9736,0.9736,0.9735,0.9735,0.9735249192125396,41826.102351559995,11.0
2019-04-28T09:00:00Z,0.9735,0.9757,0.9735,0.9757,0.9744527669561842,54615.19140369,32.0
2019-04-28T10:00:00Z,0.9749,0.9749,0.9741,0.9741,0.9747868497864547,136821.54506468997,18.0
2019-04-28T11:00:00Z,0.9747,0.9753,0.9746,0.9748,0.9746316673682144,14597.4149731,18.0
2019-04-28T12:00:00Z,0.9753,0.9757,0.9752,0.9752,0.9754888334688517,2487.97097587,10.0
2019-04-28T13:00:00Z,0.9752,0.9755,0.9749,0.9755,0.9753190252606958,45487.82690978,87.0
2019-04-28T14:00:00Z,0.9755,0.977,0.9755,0.976,0.9760741548035161,269018.34738901,304.0
2019-04-28T15:00:00Z,0.976,0.9763,0.9745,0.9745,0.9754699404208317,206075.43551477,140.0
2019-04-28T16:00:00Z,0.9745,0.9746,0.9745,0.9745,0.9745416006552439,62979.7772329,54.0
2019-04-28T17:00:00Z,0.9745,0.9763,0.9743,0.9746,0.9751135971997268,423855.67269945,217.0
2019-04-28T18:00:00Z,0.9746,0.9746,0.973,0.973,0.9737072393823337,417913.8452240201,326.0
2019-04-28T19:00:00Z,0.9735,0.974,0.9725,0.9725,0.9733155544617269,330643.17094983,290.0
2019-04-28T20:00:00Z,0.9726,0.973,0.9725,0.9728,0.9728098006427994,275284.47863181,37.0
2019-04-28T21:00:00Z,0.9728,0.973,0.971,0.971,0.9722826162311963,331964.37385828,181.0
2019-04-28T22:00:00Z,0.9711,0.9725,0.9705,0.9705,0.9710182288945064,189670.64101809,199.0
2019-04-28T23:00:00Z,0.9705,0.9712,0.9701,0.9702,0.9702655202785457,157867.04995496,64.0
2019-04-29T00:00:00Z,0.9702,0.9737,0.9702,0.9719,0.9728637859677578,123715.11355682,71.0
2019-04-29T01:00:00Z,0.9722,0.9722,0.9722,0.9722,0.9721999999999998,4065.4005733000004,4.0
2019-04-29T02:00:00Z,0.9724,0.9728,0.9724,0.9724,0.9724025421450099,118349.74088,36.0
2019-04-29T03:00:00Z,0.9728,0.9737,0.9728,0.9734,0.9734754220212752,22184.220705499996,24.0
2019-04-29T04:00:00Z,0.9732,0.9732,0.9732,0.9732,0.9732,26.75746946,1.0
2019-04-29T05:00:00Z,0.9734,0.9734,0.9731,0.9731,0.9732064595882346,142.10520557,4.0
2019-04-29T06:00:00Z,0.9731,0.9745,0.9731,0.9739,0.9742244132251698,58336.590533860006,28.0
2019-04-29T07:00:00Z,0.974,0.976,0.974,0.9741,0.9754779182091182,188392.2185706,113.0
2019-04-29T08:00:00Z,0.9745,0.9748,0.973,0.9738,0.9739680675626629,337056.02701715997,310.0
2019-04-29T09:00:00Z,0.9738,0.9766,0.9731,0.975,0.97495638626159,468215.73051715,331.0
2019-04-29T10:00:00Z,0.9758,0.9766,0.975,0.976,0.9762459876310221,551932.9874186,197.0
2019-04-29T11:00:00Z,0.976,0.9784,0.976,0.977,0.9770842420303084,168652.44973265,138.0
2019-04-29T12:00:00Z,0.9773,0.9776,0.976,0.9776,0.976571650187174,122159.94835842,196.0
2019-04-29T13:00:00Z,0.9776,0.9813,0.9775,0.9802,0.9796307097087407,214352.93508372,248.0
2019-04-29T14:00:00Z,0.9812,0.9826,0.9804,0.9817,0.9820331344959483,71006.18784515,90.0
2019-04-29T15:00:00Z,0.9817,0.9832,0.9816,0.9824,0.9827115924409725,550988.50782266,262.0
2019-04-29T16:00:00Z,0.9829,0.983,0.9802,0.9828,0.9814572575977792,246041.21454585,151.0
2019-04-29T17:00:00Z,0.9821,0.9829,0.981,0.9829,0.9817425230383976,396860.97766232997,348.0
2019-04-29T18:00:00Z,0.983,0.9831,0.9812,0.9831,0.9822282655593104,166873.79695309998,216.0
2019-04-29T19:00:00Z,0.9827,0.9837,0.9826,0.9837,0.9831252301090383,134403.76004000002,49.0
2019-04-29T20:00:00Z,0.9838,0.986,0.9838,0.9859,0.984748563529707,361068.95496448,231.0
2019-04-29T21:00:00Z,0.9859,0.9859,0.9845,0.9845,0.9855992636160702,30553.908534059996,78.0
2019-04-29T22:00:00Z,0.9845,0.987,0.9841,0.987,0.9851491064634047,331802.3566988,336.0
2019-04-29T23:00:00Z,0.9872,0.9885,0.9832,0.9835,0.9860932593251754,335453.90664811997,372.0
2019-04-30T00:00:00Z,0.9835,0.9879,0.9835,0.9879,0.9842962083036451,108927.89847099001,173.0
2019-04-30T01:00:00Z,0.9853,0.9856,0.9832,0.9833,0.9842608445633031,36193.78899288,100.0
2019-04-30T02:00:00Z,0.9833,0.9835,0.9832,0.9832,0.9832492607895678,14758.01681624,20.0
2019-04-30T03:00:00Z,0.9833,0.9856,0.9833,0.9856,0.9844781760692115,54399.78499303,80.0
2019-04-30T04:00:00Z,0.9855,0.9873,0.9852,0.9871,0.9854883085357183,49530.47211846,46.0
2019-04-30T05:00:00Z,0.9868,0.99,0.9868,0.9878,0.9893705993098275,651666.08786998,205.0
2019-04-30T06:00:00Z,0.9879,0.99,0.9878,0.9891,0.9890416304828127,320817.74101873004,275.0
2019-04-30T07:00:00Z,0.9893,0.9948,0.987,0.987,0.9888146080959443,295057.69583534,186.0
2019-04-30T08:00:00Z,0.987,0.9885,0.987,0.9885,0.9874036379804707,169583.28989800002,89.0
2019-04-30T09:00:00Z,0.988,0.9895,0.9871,0.9872,0.9881262698319557,515614.49687583,193.0
2019-04-30T10:00:00Z,0.9872,0.9883,0.9872,0.9872,0.9873790555548536,275474.75534952,238.0
2019-04-30T11:00:00Z,0.9872,0.988,0.987,0.987,0.9873693628615555,73295.03146733,74.0
2019-04-30T12:00:00Z,0.9871,0.9875,0.9871,0.9872,0.9873909411774575,88441.89734983002,35.0
2019-04-30T13:00:00Z,0.9872,0.988,0.9872,0.9878,0.9874939969474088,100397.25340749,171.0
2019-04-30T14:00:00Z,0.9879,0.9929,0.9878,0.9897,0.9902917185909865,294813.59036617,121.0
2019-04-30T15:00:00Z,0.9896,0.99,0.9887,0.99,0.9890295433678288,1033961.1385010601,102.0
2019-04-30T16:00:00Z,0.99,0.99,0.989,0.9891,0.9895519911985926,212954.57650072995,77.0
